ID,Isi berita,label
1,"Persatuan Bulutangkis Indonesia (PBSI) baru saja mengumumkan daftar 20 pemain yang dibawa ke Asian Games 2026. Jonatan Christie salah satunya. Dari daftar 20 nama itu dibagi rata, yakni 10 pebulutangkis putra dan 10 pebulutangkis putri. Keputusan ini diambil setelah melalui evaluasi yang mendalam selama beberapa bulan. Beberapa aspek yang dinilai adalah performa terkini, kondisi fisik, hingga kebutuhan teknis tim, sebelum nama-nama pemain dipilih. ""Penetapan skuad itu dilakukan setelah melalui proses evaluasi secara menyeluruh. Kami melihat performa, kondisi fisik dan teknis masing-masing pemain, serta kebutuhan tim untuk menentukan komposisi yang paling sesuai dengan target di Asian Games,"" ujar Kepala Bidang Pembinaan dan Prestasi PBSI, Eng Hian, dalam keterangan resminya. Meski membawa 20 nama ke Asian Games Aichi-Nagoya 2026, ada beberapa nama yang memang tidak akan tampil di nomor perorangan. Mereka lebih difokuskan untuk menambah kedalaman skuad di nomor beregu. Di nomor perorangan, Jonatan Christie dan Alwi Farhan akan menjadi tumpuan. Sementara di nomor beregu, Moh Zaki Ubaidillah dan Muhamad Yusuf jad tumpuan. Hal serupa dilakukan untuk tim putri, baik di sektor perorangan maupun beregu. Asian Games 2026 berlangsung 19 September hingga 4 Oktober, di mana cabor bulutangkis dimulai sehari setelah upacara pembukaan. Nomor beregu lebih dulu dipertandingkan mulai 20 hingga 24 September, sebelum nomor perorangan dari 25 hingga 29 September. Cabor bulutangkis digelar di Ichinomiya City Municipal Gymnasium. ""Jadi, fokus utama kami adalah nomor beregu terlebih dahulu. Kami ingin seluruh pemain bisa tampil maksimal dan memberikan kontribusi terbaik untuk tim putra maupun putri,"" sambung Eng Hian. Daftar Pebulutangkis putra Jonatan Christie Alwi Farhan Moh Zaki Ubaidillah Muhamad Yusuf Fajar Alfian Muhammad Shohibul Fikri Leo Rolly Carnando Daniel Marthin Nikolaus Joaquin Amri Syahnawi Daftar Pebulutangkis putri Putri Kusuma Wardani Thalita Ramadhani Wiryawan Ni Kadek Dhinda Amartya Pratiwi Mutiara Ayu Puspitasari Rachel Allessya Rose Febi Setianingrum Febriana Dwipuji Kusuma Meilysa Trias Puspitasari Siti Fadia Silva Ramadhanti Nita Violina Marwah (mrp/aff)",Sport
2,"Tunggal putra Indonesia, Jonatan Christie, menelan kekalahan di ajang China Masters. Pada babak kedua, Jojo dikalahkan Jason Gunawan 16-21 dan 16-21. Di Arena Shenzhen, Shenzhen, Kamis (3/9/2026) pagi WIB, Jojo menjalani pertandingan selama 45 menit melawan Jason. Pertarungan gim pertama berjalan sengit dan imbang sampai 14-14. Setelah itu, Jason tak terkejar. Pemain asal Hong Kong itu akhirnya menyudahi perjuangan Jojo dengan skor 21-16. Pada gim kedua, Jojo juga menjalani pertarungan sengit melawan Jason. Skor imbang antara Jojo dan Jason bertahan sampai 13-13. Saat fase krusial, Jason kembali tampil lebih prima untuk merebut kemenangan 21-16. Dengan hasil ini, wakil Indonesia di nomor tunggal putra China Masters pun habis. Indonesia masih mempunyai beberapa wakil di nomor ganda putra. Sabar Karyaman Gutama/Muhammad Reza Pahlevi Isfahani, Ali Faathir Rayhan/Devin Artha Wahyudi, dan Leo Rolly Carnando/Daniel Marthin merupakan deretan pemain Indonesia yang masih berjuang. (cas/krs)",Sport
3,"Sabar Karyaman Gutama/Moh Reza Pahlevi Isfahani lolos ke babak 16 besar China Masters 2026. Mereka menyingkirkan wakil Korea, Kang Min Hyuk/Ki Dong Ju, lewat kemenangan straight game. Sabar/Reza menghadapi Kang/Ki di Shenzhen Arena, Guangdong, Rabu (2/9/2026) sore WIB. Mereka butuh waktu 43 menit untuk menyudahi perlawanan Kang/Ki 21-18, 21-16. Pertandingan berjalan ketat sejak awal gim pertama. Sabar/Reza hanya unggul 11-10 atas Kang/Ki saat interval. Selepas interval, Kang/Ki berbalik unggul dan Sabar/Reza lebih banyak dalam posisi mengejar. Dalam posisi tertinggal 14-16, Sabar/Reza merebut tiga angka beruntun untuk menyalip. Meski Kang/Ki bisa menyamakan kedudukan 18-18, Sabar/Reza lebih tenang di poin-poin krusial. Mereka merebut tiga angka beruntun untuk mengamankan gim pertama 21-18. Sabar/Reza tampil lebih dominan pada gim kedua. Unggul 13-6, Sabar/Reza tak membiarkan Kang/Ki mengembangkan permainan. Sabar/Reza terus menjaga keunggulan dan mengunci kemenangan dengan skor 21-16. Pada babak 16 besar, Sabar/Reza akan menghadapi wakil Denmark Daniel Lundgaard/Mads Vestegaard. (nds/aff)",Sport
4,"Dua petenis Indonesia menyusul Nathan Barki lolos ke Babak Kedua Seri IV M-15 Men's World Tennis Championship, Rafalentino Da Costa dan Anthony Susanto. Pada pertandingan Babak Pertama di Lapangan A, Bali Beach Country Club, Nusa Dua, Rabu (2/9/2026) , Rafalentino menghadapi Shanker Heisnam asal India. Meski sempat tertinggal jauh 1-5 di set pertama, Rafalentino tidak goyah dan malah bisa menyamakan skor 5-5, sebelum akhirnya menang dengan skor 7-5. Keberhasilan comeback di set pertama bikin Rafalentino terpacu semangatnya dan bisa menang mudah di set kedua dengan skor 6-0 dalam waktu 1 jam 14 menit. Rafalentino mengaku kaget dengan pola permainan lawannya di set pertama. Dia sempat tertekan dengan gaya lawannya sebelum bisa menemukan celah untuk melakukan serangan balik. ""Saya kaget melihat lawan yang agresif, sehingga tertekan dan banyak melakukan kesalahan sendiri. Namun saat mampu meredam serangan-serangan dan mulai dapat mengejar defisit poin, lalu menyamakan skor 5-5, saya makin termotivasi dan percaya diri untuk memenangi pertandingan,"" ujar Rafalentino dalam rilis kepada detikSport. Satu lagi petenis Indonesia yang lolos adalah Anthony Susanto usai mengalahkan Hitesh Chauhan dua set langsung 6-5 dan 6-1. Sayangnya, Anthony harus menghadapi Nathan Barki untuk berebut tiket perempatfinal, Kamis (3/9). Petenis Indonesia yang gagal lolos adalah Gunawan Trismuwantara. Petenis jalur kualifikasi ini harus kalah dari Karan Singh yang merupakan unggulan keempat, dengan dua set langsung 3-6 dan 5-7. Sempat kalah 3-6 di set pertama, Gunawan sebenarnya memberikan perlawan keras hingga skor imbang 5-5 di set kedua. Namun dengan ketenangan dan juga pengalaman dari Karan yang berusia 23 tahun itu berhasil mematahkan servis dari Gunawan pada gim ke-12, untuk menutup laga dengan skor akhir 7-5. (mrp/ran)",Sport
5,"Babak utama Seri IV M-15 Men's World Tennis Championship 2026 sudah bergulir. Petenis tuan rumah Nathan Barki lolos ke Babak Kedua. Pada laga perdana di Lapangan D, Bali Beach Country Club, Nusa Dua, Selasa (1/9/2026), Nathan secara mengejutkan mengalahkan lawannya yang merupakan unggulan kedelapan asal Spanyol, Pablo Perez Ramos, lewat pertarungan tiga set selama 2 jam 14 menit. Mengawali laga dengan mantap, Nathan menang 6-2 di set pertama. Namun, Ramos yang berperingkat 984 ATP ini berhasil bangkit dari keterpurukannya untuk merebut set kedua dengan kemenangan 6-2. Sempat tertinggal 2-4 di set ketiga, Nathan tidak patah arang dan malah berhasil membalikkan keadaan. Ramos kesulitan untuk menghadapi tekanan Nathan sebelum akhirnya kalah 4-6. ""Pertandingan pertama memang selalu tidak mudah. Meski unggul di set pertama, lawan ternyata mampu merespon dengan baik di set kedua, bahkan saya sempat tertinggal di set ketiga. Tapi, persiapan matang yang saya lakukan sebelum turnamen jadi kunci kemenangan,"" ujar Nathan dalam rilis kepada detikSport. Di sektor ganda putra, Rafalentino Ali Da Costa/Ethan David Zapp menembus perempatfinal usai mengandaskan perlawanan Raghav Jaisinghani/Udit Kamboj dengan rubber set. Takluk 5-7 di set pertama, ganda muda tuan rumah itu berhasil dengan kemenangan 6-3 di set kedua. Laga harus dilanjutkan ke set ketiga yang menggunakan format super tiebreak, Dengan motivasi tinggi dan bermain lepas, Rafalentino/Ethan sukses menutup set ketiga ini dengan skor meyakinkan 10-4. Sayang langkah keduanya gagal diikuti rekannya Anthony Susanto yang berpasangan dengan Ren Nakamura. Mereka kalah rubber set dari Nan Hsun Lin/Kai-i Wang. Keunggulan 7-6 tiebreak 3 di set pertama, gagal dipertahankan oleh Anthony/Ren karena ganda Taiwan itu sukses merebut dua set berikutnya dengan kemenangan 6-4 dan super tiebreak 10-5 dalam durasi 1 jam 37 menit di lapangan F. (mrp/ran)",Sport
6,"Leo Rolly Carnando/Daniel Marthin melaju ke babak kedua China Masters 2026. Leo/Daniel mengalahkan unggulan pertama Kim Won Ho/Seo Seung Jae 21-19, 21-19. Leo Rolly Carnando/Daniel Marthin melawan unggulan pertama Kim Won Ho/Seo Seung Jae (Korea Selatan) pada babak pertama China Masters 2026. Laga ini berlangsung di Court 1, Shenzhen Arena, Selasa (1/9/2026). Leo/Daniel tertinggal di awal gim pertama 1-5. Mereka bisa bangkit mengejar untuk hanya tertinggal satu poin saat skor 5-6. Kedua ganda ini kemudian saling pertukar poin. Kim/Seo unggul 11-9 saat interval gim pertama. Leo/Daniel bisa menyetarakan angka selepas interval saat skor 12-12. Kejar mengejar poin terjadi hingga 16-16. Kim/Seo mendapatkan momentum untuk menjauh usai mendapatkan dua angka. Kim/Seo diambang menutup gim pertama usai unggul 19-16. Namun, Leo/Daniel tampil menawan di poin-poin krusial. Mereka mendulang lima angka beruntun untuk membalikkan situasi. Leo/Daniel mengamankan gim pertama usai menang 21-19. Laga berjalan sengit di awal gim kedua. Kejar mengejar poin terjadi hingga 7-7. Skor masih ketat sampai 10-10. Leo/Daniel mendapatkan satu angka untuk memimpin 11-10 saat interval gim kedua. Selepas interval situasi sempat berbalik dengan Leo/Daniel tertinggal 12-15. Mereka bisa mengejar hingga skor kembali sama kuat saat 15-15. Skor sama kuat hingga 17-17. Leo/Daniel kembali menunjukkan mental yang sangat baik di poin krusial.Leo/Daniel bisa memenangi lagi usai mengamankan gim kedua 21-19. Leo/Daniel melaju ke babak kedua (16 besar). Leo/Daniel mengikuti jejak dari Ali Faathir Rayhan/Devin Artha Wahyudi. Ali Faathir Rayhan/Devin Artha Wahyudi mengalahkan unggulan kelima dari Malaysia, Goh Sze Fei/Nur Izzuddin. Fathir/Devin ke babak kedua usai Goh/Izzudin retired. Mereka mundur setelah kalah 16-21 di gim pertama. (pur/krs)",Sport
7,"Bertanding di Court 1, Shenzhen Arena, Selasa (1/9/2026), Jonatan yang menjadi unggulan pertama di dalam turnamen BWF Super 750 itu membutuhkan waktu 44 menit untuk mengunci kemenangan. Pada gim pertama, Jonatan langsung mengamankan kemenangan dengan skor 21-17. Leong Jun Hao berusaha memberikan perlawanan, tetapi Jonatan mampu menjaga keunggulan dari awal hingga gim berakhir. Persaingan lebih ketat terjadi pada gim kedua. Jonatan akhirnya kembali menang dengan skor 21-19 untuk memastikan kemenangan dua gim langsung. Dengan hasil tersebut, Jonatan Christie melaju dari babak 32 besar setelah mengalahkan wakil Malaysia tersebut. Di China Masters 2026 ini sendiri Indonesia memiliki empat orang wakil. Selain Jonatan Christie, ada tiga wakil lain dari nomor ganda. Ketiganya adalah pasangan ganda putra yakni Leo Rolly Carnando/Daniel Marthin, Sabar Karyaman Gutama/Moh Reza Pahlevi Isfahani, dan Ali Faathir Rayhan/Devin Artha Wahyudi. Sejumlah nama lain yang sempat masuk daftar undian pekan lalu urung tampil. Mereka adalah Alwi Farhan, Putri Kusuma Wardani, dan Fajar Alfian/Muhammad Shohibul Fikri. Simak juga Video: Jonatan Christie: Hampir Seumur Hidup untuk Bulu Tangkis Indonesia (krs/bay)",Sport
8,"Satu wakil Indonesia lolos ke Babak Utama Seri 4 M-15 Amman Mineral Men's World Tennis Championship 2026. Dia adalah Gunawan Trismuwantara. Pada pertandingan final kualifikasi di lapangan A, Bali Beach Country Club, Nusa Dua, Senin (31/8/2026), Gunawan menghadapi Haruto Ishikawa asal Jepang. Petenis 23 tahun itu harus bertarung ketat tiga set selama 1 jam 41 menit untuk memastikan tiket babak utama dengan kemenangan 4-6, 6-6, dan 10-7. Setelah saling balas di dua set pertama, format super tie break harus digunakan di set ketiga untuk menentukan pemenang. Gunawan bisa memenangi set penentuan tersebut dengan skor akhir 10-7. ""Saya memang sering melakukan kesalahan di set pertama, terutama saat poin penting. Namun, saya kembali fokus di sisa game, terutama di babak super tie dan akhirnya bisa menang,"" ujar Gunawan dalam rilis kepada detikSport. Pada pertandingan lainnya di lapangan F, performa impresif Ethan David Zapp gagal dilanjutkan saat bertemu unggulan ketiga dari India, Shanker Heisnam. Meski telah mengeluarkan seluruh permain terbaiknya dan memberikan perlawanan keras terutama di set awal, petenis 17 tahun itu takluk 4-6 dan 1-6 dalam tempo 1 jam 35 menit. Gunawan pun menemani sejumlah pemain Indonesia yang lebih dulu masuk Babak Utama lewat fasilitas Wild Card, seperti Anthony Susanto, Nathan Barki, dan Rafalentino Ali Da Costa. Selain turun dinomor tunggal pada kejuaraan yang berhadiah total 20 ribu dolar AS, Indonesia punya enam wakil di nomor ganda melalui Gunawan Trismuwantara/Kareem Abdul Hakim, Rafalentino Ali Dacosta/Ethan David Zapp serta Anthony Susanto yang menggandeng pemain Jepang Ren Nakamura. (mrp/adp)",Sport
9,"Indonesia hanya mengirim empat wakil ke China Masters 2026. PBSI menarik sejumlah pemain dengan alasan persiapan menuju Asian Games 2026. China Masters 2026 yang merupakan turnamen Super 750 itu digelar di Shenzhen Arena, China, pada 1-6 September. Sementara Asian Games 2026 yang akan diselenggarakan di Aichi Nagoya, Jepang, itu akan bergulir pada 19 September - 4 Oktober. Dalam daftar pemain yang dirilis PBSI, Senin (31/8/2026), hanya empat wakil yang akan bertanding di China Masters 2026. Mereka adalah Jonatan Christie serta tiga ganda putra yakni Leo Rolly Carnando/Daniel Marthin, Sabar Karyaman Gutama/Moh Reza Pahlevi Isfahani, dan Ali Faathir Rayhan/Devin Artha Wahyudi. Sementara itu, nama-nama yang ditarik dari turnamen ini berdasarkan daftar undian yang dirilis pekan lalu adalah Alwi Farhan, Putri Kusuma Wardani, dan Fajar Alfian/Muhammad Shohibul Fikri. Sebelumnya, PBSI sudah membatalkan keikutsertaan pemain dari sektor ganda putri dan ganda campuran. Kabid Binpres PBSI Eng Hian mengatakan bahwa penarikan sejumlah pemain dari China Masters 2026 disebabkan oleh penyelenggaraannya yang berdekatan dengan Asian Games 2026. PBSI disebutnya harus mengatur program persiapan pemain. ""Penarikan beberapa pemain dari China Masters ini karena jaraknya cukup berdekatan dengan Asian Games. Mereka masuk dalam long list Asian Games, sehingga kami perlu mengatur program masing-masing agar persiapannya bisa lebih optimal, termasuk waktu untuk recovery, latihan, dan evaluasi,"" ucap Eng Hian seperti terlihat dalam unggahan di media sosial PBSI. ""Tapi ada juga beberapa pemain yang tetap diturunkan di China Masters. Pertimbangannya karena mereka memiliki kebutuhan untuk menjaga atau menambah poin ranking BWF mereka, sekaligus menjaga match feel dan ritme pertandingan sebelum Asian Games."" ""Jadi, programnya memang tidak bisa disamaratakan. Kami melihat kebutuhan dan kondisi masing-masing pemain."" ""Dan yang perlu digarisbawahi, pemain yang bertanding dan ditarik dari China Masters bukan berarti sudah pasti masuk tim Asian Games. Mereka masih dalam long list dan tetap akan kami evaluasi berdasarkan performa, kondisi fisik dan teknis, serta kebutuhan tim,"" katanya. (nds/cas)",Sport
10,"Setelah sepekan libur, kejuaraan tenis internasional Men's World Tennis Championship 2026 kembali bergulir. Seri keempat langsung panas di babak kualifikasi. Apabila sebelumnya berlabel Universal Tennis Rating Pro Tennis Tour atau UTR PTT. Maka untuk seri keempat ini kembali berkategori M-15 yang dilangsungkan selama sepekan, 31 Agustus-6 September di Bali Beach Country Club, Nusa Dua, dan berhadiah total 20 ribu dolar AS. Untuk babak penyisihan seri keempat, ada 32 petenis dari 12 negara yang memperebutkan delapan ke babak utama. Pada pertandingan, (Minggu 30/8/2026), tuan rumah Indonesia berhasil meloloskan dua pemainnya ke final kualifikasi, yakni Gunawan Trismuwantara serta Ethan David Zapp. Gunawan mengawalinya dengan menghentikan perlawanan wakil Australia Sebastian Huggins dua set langsung. Sempat mendapat perlawanan di set pertama dan kehilangan tiga gim, Gunawan bisa menang 6-3. Sebastian Huggins kian tak berdaya meredam agresivitas Gunawan di set kedua sehingga menyerah 0-6 dalam waktu 56 menit. Pada laga final kualifikasi, Gunawan bertemu Haruto Ishikawa yang mengalahkan Ashwin Ryan Sharma 6-2, 3-6 dan 10-8. ""Saya mau main bagus dan fokus di setia laga. Ini faktor utama yang membuat saya menang hari ini. Semoga bisa lebih baik di laga-laga berikutnya,"" ujar Gunawan dalam keterangan kepada media. Langkah impresif Gunawan diikuti petenis muda Ethan David Zapp yang mengalahkan kompatriotnya, Dewana Gustaman, 6-2 dan 6-3. Ethan yang baru berusia 17 tahun menantang unggulan kee,pat Ren Nakamura dari Jepang untuk memperebutkan tiket ke babak utama. Kelolosan kedua petenis di atas ke babak final tidak bisa diikuti wakil Inndonesia lainnya, seperti Renaldi Aquila Salim, M. Ragil Putra, Kareem Abdul Hakim, dan Raphael Rio Suryana. Kareem kalah 1-6 dan 4-6 dari Azuma Visaya, disusul Renaldo yang takluk 1-6 0-6 dari. Stefan Menichella. Raphael juga selesai kiprahnya usai ditaklukkan Matthew Shearer 3-6, 4-6 dan Ragil kalah 1-6 1-6 dari Thomas Patton. (mrp/bay)",Sport
